"","Country","Year","HDI_indx","Gini_indx","code_3","continent","sub_region","coal_prod_change_pct","coal_prod_change_twh","gas_prod_change_pct","gas_prod_change_twh","oil_prod_change_pct","oil_prod_change_twh","energy_cons_change_pct","energy_cons_change_twh","biofuel_cons_change_pct","biofuel_share_energy","biofuel_cons_change_twh","biofuel_consumption","biofuel_cons_per_capita","coal_share_elec","coal_cons_change_pct","coal_share_energy","coal_cons_change_twh","coal_consumption","coal_elec_per_capita","coal_cons_per_capita","coal_production","coal_prod_per_capita","electricity_generation","coal_electricity","fossil_electricity","gas_electricity","hydro_electricity","nuclear_electricity","oil_electricity","other_renewable_electricity","renewables_electricity","solar_electricity","wind_electricity","energy_per_gdp","energy_per_capita","fossil_cons_change_pct","fossil_share_energy","fossil_cons_change_twh","fossil_fuel_consumption","fossil_energy_per_capita","fossil_cons_per_capita","fossil_share_elec","gas_share_elec","gas_cons_change_pct","gas_share_energy","gas_cons_change_twh","gas_consumption","gas_elec_per_capita","gas_energy_per_capita","gas_production","gas_prod_per_capita","hydro_share_elec","hydro_cons_change_pct","hydro_share_energy","hydro_cons_change_twh","hydro_consumption","hydro_elec_per_capita","hydro_energy_per_capita","low_carbon_share_elec","low_carbon_electricity","low_carbon_elec_per_capita","low_carbon_cons_change_pct","low_carbon_share_energy","low_carbon_cons_change_twh","low_carbon_consumption","low_carbon_energy_per_capita","nuclear_share_elec","nuclear_cons_change_pct","nuclear_share_energy","nuclear_cons_change_twh","nuclear_consumption","nuclear_elec_per_capita","nuclear_energy_per_capita","oil_share_elec","oil_cons_change_pct","oil_share_energy","oil_cons_change_twh","oil_consumption","oil_elec_per_capita","oil_energy_per_capita","oil_production","oil_prod_per_capita","other_renewables_elec_per_capita","other_renewables_share_elec","other_renewables_cons_change_pct","other_renewables_share_energy","other_renewables_cons_change_twh","other_renewable_consumption","other_renewables_energy_per_capita","per_capita_electricity","population","primary_energy_consumption","renewables_elec_per_capita","renewables_share_elec","renewables_cons_change_pct","renewables_share_energy","renewables_cons_change_twh","renewables_consumption","renewables_energy_per_capita","solar_share_elec","solar_cons_change_pct","solar_share_energy","solar_cons_change_twh","solar_consumption","solar_elec_per_capita","solar_energy_per_capita","gdp","wind_share_elec","wind_cons_change_pct","wind_share_energy","wind_cons_change_twh","wind_consumption","wind_elec_per_capita","wind_energy_per_capita","gdp.billion","contnew"
"1","Afghanistan","1990","0.302","0.5211993838","AFG","Asia","Southern Asia",-17.323,-0.128,NA,NA,NA,NA,-0.942,-0.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,49.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17,2548.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12412000,31.627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27027456000,NA,NA,NA,NA,NA,NA,NA,27.027456,"Asia"
"2","Afghanistan","1991","0.307","0.521199373","AFG","Asia","Southern Asia",-10.476,-0.064,NA,NA,NA,NA,-56.839,-17.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.546,41.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.567,1026.439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13299000,13.651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24076392448,NA,NA,NA,NA,NA,NA,NA,24.076392448,"Asia"
"3","Afghanistan","1992","0.316","0.5211994675","AFG","Asia","Southern Asia",-91.489,-0.499,NA,NA,NA,NA,-34.352,-4.689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046,3.206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.366,618.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14486000,8.961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24472467456,NA,NA,NA,NA,NA,NA,NA,24.472467456,"Asia"
"4","Afghanistan","1993","0.312","0.5211993946","AFG","Asia","Southern Asia",-12.501,-0.006,NA,NA,NA,NA,-0.294,-0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.041,2.569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.487,564.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15817000,8.935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18363240448,NA,NA,NA,NA,NA,NA,NA,18.363240448,"Asia"
"5","Afghanistan","1994","0.307","0.5198735658","AFG","Asia","Southern Asia",-14.285,-0.006,NA,NA,NA,NA,-3.561,-0.318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.604,504.612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17076000,8.617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14271192064,NA,NA,NA,NA,NA,NA,NA,14.271192064,"Asia"
"6","Afghanistan","1995","0.331","0.5170261754","AFG","Asia","Southern Asia",-16.634,-0.006,NA,NA,NA,NA,-15.904,-1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029,1.603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.338,400.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18111000,7.246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21408944128,NA,NA,NA,NA,NA,NA,NA,21.408944128,"Asia"
"7","Afghanistan","1996","0.335","0.5155189883","AFG","Asia","Southern Asia",-40,-0.012,NA,NA,NA,NA,-1.761,-0.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017,0.924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.351,377.589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18853000,7.119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20271888384,NA,NA,NA,NA,NA,NA,NA,20.271888384,"Asia"
"8","Afghanistan","1997","0.339","0.517229855","AFG","Asia","Southern Asia",-33.333,-0.006,NA,NA,NA,NA,-4.485,-0.319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.354,351.264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19357000,6.799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19232094208,NA,NA,NA,NA,NA,NA,NA,19.232094208,"Asia"
"9","Afghanistan","1998","0.344","0.518199052","AFG","Asia","Southern Asia",0,0,NA,NA,NA,NA,-2.669,-0.181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012,0.589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,335.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19738000,6.618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18362912768,NA,NA,NA,NA,NA,NA,NA,18.362912768,"Asia"
"10","Afghanistan","1999","0.348","0.5132072602","AFG","Asia","Southern Asia",-50,-0.006,NA,NA,NA,NA,-0.093,-0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,0.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.378,327.789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20171000,6.612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17476122624,NA,NA,NA,NA,NA,NA,NA,17.476122624,"Asia"
