"","continent","year","energy_type","meanconsmp"
"1","Africa",1965,"coal",73.594
"2","Africa",1965,"nuclear",0
"3","Africa",1965,"renewable",2.34875
"4","Africa",1966,"coal",72.588
"5","Africa",1966,"nuclear",0
"6","Africa",1966,"renewable",2.271
"7","Africa",1967,"coal",75.012
"8","Africa",1967,"nuclear",0
"9","Africa",1967,"renewable",2.31575
"10","Africa",1968,"coal",78.39325
"11","Africa",1968,"nuclear",0
"12","Africa",1968,"renewable",3.22625
"13","Africa",1969,"coal",79.28825
"14","Africa",1969,"nuclear",0
"15","Africa",1969,"renewable",3.9865
"16","Africa",1970,"coal",81.8685
"17","Africa",1970,"nuclear",0
"18","Africa",1970,"renewable",4.611
"19","Africa",1971,"coal",87.02275
"20","Africa",1971,"nuclear",0
"21","Africa",1971,"renewable",4.86725
"22","Africa",1972,"coal",87.7015
"23","Africa",1972,"nuclear",0
"24","Africa",1972,"renewable",5.616
"25","Africa",1973,"coal",93.1675
"26","Africa",1973,"nuclear",0
"27","Africa",1973,"renewable",5.6125
"28","Africa",1974,"coal",98.08375
"29","Africa",1974,"nuclear",0
"30","Africa",1974,"renewable",6.30725
"31","Africa",1975,"coal",104.94725
"32","Africa",1975,"nuclear",0
"33","Africa",1975,"renewable",6.428
"34","Africa",1976,"coal",110.1745
"35","Africa",1976,"nuclear",0
"36","Africa",1976,"renewable",7.824
"37","Africa",1977,"coal",114.22375
"38","Africa",1977,"nuclear",0
"39","Africa",1977,"renewable",8.761
"40","Africa",1978,"coal",110.87775
"41","Africa",1978,"nuclear",0
"42","Africa",1978,"renewable",9.377
"43","Africa",1979,"coal",118.341
"44","Africa",1979,"nuclear",0
"45","Africa",1979,"renewable",8.767
"46","Africa",1980,"coal",127.1265
"47","Africa",1980,"nuclear",0
"48","Africa",1980,"renewable",8.7265
"49","Africa",1981,"coal",150.638
"50","Africa",1981,"nuclear",0
"51","Africa",1981,"renewable",9.20575
"52","Africa",1982,"coal",167.326
"53","Africa",1982,"nuclear",0
"54","Africa",1982,"renewable",8.7215
"55","Africa",1983,"coal",169.80975
"56","Africa",1983,"nuclear",0
"57","Africa",1983,"renewable",7.72675
