"","continent","year","energy_type","meanconsmp"
"1","Africa",1965,"fossil",119.61675
"2","Africa",1965,"low_carbon",2.34875
"3","Africa",1966,"fossil",124.103
"4","Africa",1966,"low_carbon",2.271
"5","Africa",1967,"fossil",124.18475
"6","Africa",1967,"low_carbon",2.31575
"7","Africa",1968,"fossil",130.96425
"8","Africa",1968,"low_carbon",3.22625
"9","Africa",1969,"fossil",130.559
"10","Africa",1969,"low_carbon",3.9865
"11","Africa",1970,"fossil",140.09525
"12","Africa",1970,"low_carbon",4.611
"13","Africa",1971,"fossil",149.82625
"14","Africa",1971,"low_carbon",4.86725
"15","Africa",1972,"fossil",157.2365
"16","Africa",1972,"low_carbon",5.616
"17","Africa",1973,"fossil",167.8215
"18","Africa",1973,"low_carbon",5.6125
"19","Africa",1974,"fossil",176.1885
"20","Africa",1974,"low_carbon",6.30725
"21","Africa",1975,"fossil",190.70125
"22","Africa",1975,"low_carbon",6.428
"23","Africa",1976,"fossil",205.12275
"24","Africa",1976,"low_carbon",7.824
"25","Africa",1977,"fossil",214.21625
"26","Africa",1977,"low_carbon",8.761
"27","Africa",1978,"fossil",221.03275
"28","Africa",1978,"low_carbon",9.377
"29","Africa",1979,"fossil",240.74825
"30","Africa",1979,"low_carbon",8.767
"31","Africa",1980,"fossil",264.661
"32","Africa",1980,"low_carbon",8.7265
"33","Africa",1981,"fossil",306.99
"34","Africa",1981,"low_carbon",9.20575
"35","Africa",1982,"fossil",337.36025
"36","Africa",1982,"low_carbon",8.7215
"37","Africa",1983,"fossil",352.87775
"38","Africa",1983,"low_carbon",7.72675
"39","Africa",1984,"fossil",373.087
"40","Africa",1984,"low_carbon",10.37025
"41","Africa",1985,"fossil",380.9205
"42","Africa",1985,"low_carbon",11.263
"43","Africa",1986,"fossil",388.6175
"44","Africa",1986,"low_carbon",14.09075
"45","Africa",1987,"fossil",400.26575
"46","Africa",1987,"low_carbon",12.55375
"47","Africa",1988,"fossil",428.9675
"48","Africa",1988,"low_carbon",16.391
"49","Africa",1989,"fossil",421.3865
"50","Africa",1989,"low_carbon",17.17225
"51","Africa",1990,"fossil",440.86775
"52","Africa",1990,"low_carbon",14.4215
"53","Africa",1991,"fossil",438.52625
"54","Africa",1991,"low_carbon",15.666
"55","Africa",1992,"fossil",445.26925
"56","Africa",1992,"low_carbon",14.5855
"57","Africa",1993,"fossil",442.52775
"58","Africa",1993,"low_carbon",12.70125
"59","Africa",1994,"fossil",455.87825
"60","Africa",1994,"low_carbon",15.62825
"61","Africa",1995,"fossil",475.45475
"62","Africa",1995,"low_carbon",16.54575
"63","Africa",1996,"fossil",485.107
"64","Africa",1996,"low_carbon",18.5625
"65","Africa",1997,"fossil",492.88275
"66","Africa",1997,"low_carbon",20.0095
"67","Africa",1998,"fossil",495.541
"68","Africa",1998,"low_carbon",20.5025
"69","Africa",1999,"fossil",516.8615
"70","Africa",1999,"low_carbon",19.6115
"71","Africa",2000,"fossil",521.107
"72","Africa",2000,"low_carbon",20.61975
"73","Africa",2001,"fossil",536.1535
"74","Africa",2001,"low_carbon",19.73525
"75","Africa",2002,"fossil",533.51275
"76","Africa",2002,"low_carbon",20.46075
"77","Africa",2003,"fossil",571.351
"78","Africa",2003,"low_carbon",19.78875
"79","Africa",2004,"fossil",614.66525
"80","Africa",2004,"low_carbon",20.3715
"81","Africa",2005,"fossil",613.75025
"82","Africa",2005,"low_carbon",18.80275
"83","Africa",2006,"fossil",633.059
"84","Africa",2006,"low_carbon",18.8
"85","Africa",2007,"fossil",655.77975
