"","continent","year","energy_type","meanconsmp","logmeanconsmp"
"1","Africa",1965,"fossil",119.61675,4.78429288187765
"2","Africa",1965,"low_carbon",2.34875,0.853883271745538
"3","Africa",1966,"fossil",124.103,4.82111186597156
"4","Africa",1966,"low_carbon",2.271,0.820220263123421
"5","Africa",1967,"fossil",124.18475,4.82177037613127
"6","Africa",1967,"low_carbon",2.31575,0.839733609152
"7","Africa",1968,"fossil",130.96425,4.8749243851936
"8","Africa",1968,"low_carbon",3.22625,1.17132047205069
"9","Africa",1969,"fossil",130.559,4.87182523187274
"10","Africa",1969,"low_carbon",3.9865,1.38291365296041
"11","Africa",1970,"fossil",140.09525,4.94232254841416
"12","Africa",1970,"low_carbon",4.611,1.52844475322457
"13","Africa",1971,"fossil",149.82625,5.00947628937636
"14","Africa",1971,"low_carbon",4.86725,1.58252909587688
"15","Africa",1972,"fossil",157.2365,5.05775104133874
"16","Africa",1972,"low_carbon",5.616,1.72561966672351
"17","Africa",1973,"fossil",167.8215,5.12290091454999
"18","Africa",1973,"low_carbon",5.6125,1.72499625306837
"19","Africa",1974,"fossil",176.1885,5.17155444462977
"20","Africa",1974,"low_carbon",6.30725,1.84169976539284
"21","Africa",1975,"fossil",190.70125,5.250708067383
"22","Africa",1975,"low_carbon",6.428,1.86066344787527
"23","Africa",1976,"fossil",205.12275,5.32360858042871
"24","Africa",1976,"low_carbon",7.824,2.05719593273252
"25","Africa",1977,"fossil",214.21625,5.36698601881495
"26","Africa",1977,"low_carbon",8.761,2.17031005368423
"27","Africa",1978,"fossil",221.03275,5.39831088058394
"28","Africa",1978,"low_carbon",9.377,2.23825988243749
"29","Africa",1979,"fossil",240.74825,5.48375178170062
"30","Africa",1979,"low_carbon",8.767,2.17099467260645
"31","Africa",1980,"fossil",264.661,5.57844976177047
"32","Africa",1980,"low_carbon",8.7265,2.16636437308275
"33","Africa",1981,"fossil",306.99,5.72681517376677
"34","Africa",1981,"low_carbon",9.20575,2.21982828882384
"35","Africa",1982,"fossil",337.36025,5.82115135048617
"36","Africa",1982,"low_carbon",8.7215,2.16579124147605
"37","Africa",1983,"fossil",352.87775,5.86612167967117
"38","Africa",1983,"low_carbon",7.72675,2.04468833434496
"39","Africa",1984,"fossil",373.087,5.9218116364145
"40","Africa",1984,"low_carbon",10.37025,2.3389411299547
"41","Africa",1985,"fossil",380.9205,5.94259069193656
"42","Africa",1985,"low_carbon",11.263,2.42152301706556
"43","Africa",1986,"fossil",388.6175,5.96259556938279
"44","Africa",1986,"low_carbon",14.09075,2.64551855373456
"45","Africa",1987,"fossil",400.26575,5.99212870150861
"46","Africa",1987,"low_carbon",12.55375,2.53001942572541
"47","Africa",1988,"fossil",428.9675,6.06138115848251
"48","Africa",1988,"low_carbon",16.391,2.79673240370722
"49","Africa",1989,"fossil",421.3865,6.04355046478668
"50","Africa",1989,"low_carbon",17.17225,2.84329470884008
"51","Africa",1990,"fossil",440.86775,6.08874494385055
"52","Africa",1990,"low_carbon",14.4215,2.66872014863827
"53","Africa",1991,"fossil",438.52625,6.08341967319041
"54","Africa",1991,"low_carbon",15.666,2.75149275894505
"55","Africa",1992,"fossil",445.26925,6.09867915537333
"56","Africa",1992,"low_carbon",14.5855,2.68002788452844
"57","Africa",1993,"fossil",442.52775,6.09250317434608
"58","Africa",1993,"low_carbon",12.70125,2.54170041381795
"59","Africa",1994,"fossil",455.87825,6.12222577825068
"60","Africa",1994,"low_carbon",15.62825,2.74908017399346
"61","Africa",1995,"fossil",475.45475,6.16427171447083
"62","Africa",1995,"low_carbon",16.54575,2.80612927126184
"63","Africa",1996,"fossil",485.107,6.18436948516149
"64","Africa",1996,"low_carbon",18.5625,2.92114341656292
"65","Africa",1997,"fossil",492.88275,6.20027131614214
"66","Africa",1997,"low_carbon",20.0095,2.9962071607772
"67","Africa",1998,"fossil",495.541,6.20565009504921
"68","Africa",1998,"low_carbon",20.5025,3.02054682992843
"69","Africa",1999,"fossil",516.8615,6.24777494693626
"70","Africa",1999,"low_carbon",19.6115,2.97611612886885
"71","Africa",2000,"fossil",521.107,6.25595539494719
"72","Africa",2000,"low_carbon",20.61975,3.02624935436401
"73","Africa",2001,"fossil",536.1535,6.28442050066872
"74","Africa",2001,"low_carbon",19.73525,2.98240637688357
"75","Africa",2002,"fossil",533.51275,6.27948296923787
"76","Africa",2002,"low_carbon",20.46075,3.01850841674313
"77","Africa",2003,"fossil",571.351,6.34800373183185
"78","Africa",2003,"low_carbon",19.78875,2.98511359440585
