"","continent","year","energy_type","consumption"
"1","Asia",1980,"coal",NA
"2","Asia",1981,"coal",NA
"3","Asia",1982,"coal",NA
"4","Asia",1983,"coal",NA
"5","Asia",1984,"coal",NA
"6","Asia",1985,"coal",NA
"7","Asia",1986,"coal",NA
"8","Asia",1987,"coal",NA
"9","Asia",1988,"coal",NA
"10","Asia",1989,"coal",NA
"11","Asia",1990,"coal",NA
"12","Asia",1991,"coal",NA
"13","Asia",1992,"coal",NA
"14","Asia",1993,"coal",NA
"15","Asia",1994,"coal",NA
"16","Asia",1995,"coal",NA
"17","Asia",1996,"coal",NA
"18","Asia",1997,"coal",NA
"19","Asia",1998,"coal",NA
"20","Asia",1999,"coal",NA
"21","Asia",2000,"coal",NA
"22","Asia",2001,"coal",NA
"23","Asia",2002,"coal",NA
"24","Asia",2003,"coal",NA
"25","Asia",2004,"coal",NA
"26","Asia",2005,"coal",NA
"27","Asia",2006,"coal",NA
"28","Asia",2007,"coal",NA
"29","Asia",2008,"coal",NA
"30","Asia",2009,"coal",NA
"31","Asia",2010,"coal",NA
"32","Asia",2011,"coal",NA
"33","Asia",2012,"coal",NA
"34","Asia",2013,"coal",NA
"35","Asia",2014,"coal",NA
"36","Asia",2015,"coal",NA
"37","Asia",2016,"coal",NA
"38","Europe",NA,"coal",NA
"39","Europe",1980,"coal",NA
"40","Europe",1981,"coal",NA
"41","Europe",1982,"coal",NA
"42","Europe",1983,"coal",NA
"43","Europe",1984,"coal",NA
"44","Europe",1985,"coal",NA
"45","Europe",1986,"coal",NA
"46","Europe",1987,"coal",NA
"47","Europe",1988,"coal",NA
"48","Europe",1989,"coal",NA
"49","Europe",1990,"coal",NA
"50","Europe",1991,"coal",NA
"51","Europe",1992,"coal",NA
"52","Europe",1993,"coal",NA
"53","Europe",1994,"coal",NA
"54","Europe",1995,"coal",NA
"55","Europe",1996,"coal",NA
"56","Europe",1997,"coal",NA
"57","Europe",1998,"coal",NA
"58","Europe",1999,"coal",NA
"59","Europe",2000,"coal",NA
"60","Europe",2001,"coal",NA
"61","Europe",2002,"coal",NA
"62","Europe",2003,"coal",NA
"63","Europe",2004,"coal",NA
"64","Europe",2005,"coal",NA
"65","Europe",2006,"coal",NA
"66","Europe",2007,"coal",NA
"67","Europe",2008,"coal",NA
"68","Europe",2009,"coal",NA
"69","Europe",2010,"coal",NA
"70","Europe",2011,"coal",NA
"71","Europe",2012,"coal",NA
"72","Europe",2013,"coal",NA
"73","Europe",2014,"coal",NA
"74","Europe",2015,"coal",NA
"75","Europe",2016,"coal",NA
"76","Africa",1965,"coal",0.814
"77","Africa",1966,"coal",0.791
"78","Africa",1967,"coal",0.605
"79","Africa",1968,"coal",0.64
"80","Africa",1969,"coal",0.814
"81","Africa",1970,"coal",0.965
"82","Africa",1971,"coal",0.267
"83","Africa",1972,"coal",0.233
"84","Africa",1973,"coal",0.267
"85","Africa",1974,"coal",0.221
"86","Africa",1975,"coal",0.279
"87","Africa",1976,"coal",0.547
"88","Africa",1977,"coal",0.709
"89","Africa",1978,"coal",0.361
"90","Africa",1979,"coal",0.837
"91","Africa",1980,"coal",0.744
"92","Africa",1981,"coal",0.523
"93","Africa",1982,"coal",9.711
"94","Africa",1983,"coal",8.664
"95","Africa",1984,"coal",9.606
"96","Africa",1985,"coal",10.025
"97","Africa",1986,"coal",10.293
"98","Africa",1987,"coal",12.305
"99","Africa",1988,"coal",11.572
"100","Africa",1989,"coal",9.781
"101","Africa",1990,"coal",7.664
"102","Africa",1991,"coal",7.908
"103","Africa",1992,"coal",9.397
"104","Africa",1993,"coal",7.653
"105","Africa",1994,"coal",7.211
"106","Africa",1995,"coal",7.211
"107","Africa",1996,"coal",3.396
"108","Africa",1997,"coal",5.955
"109","Africa",1998,"coal",6.373
"110","Africa",1999,"coal",6.827
"111","Africa",2000,"coal",5.641
"112","Africa",2001,"coal",6.513
"113","Africa",2002,"coal",8.548
"114","Africa",2003,"coal",7.048
"115","Africa",2004,"coal",8.408
"116","Africa",2005,"coal",6.908
"117","Africa",2006,"coal",10.258
"118","Africa",2007,"coal",8.804
"119","Africa",2008,"coal",8.804
"120","Africa",2009,"coal",5.652
"121","Africa",2010,"coal",3.605
"122","Africa",2011,"coal",3.198
"123","Africa",2012,"coal",3.396
"124","Africa",2013,"coal",1.838
"125","Africa",2014,"coal",2.082
"126","Africa",2015,"coal",1.547
"127","Africa",2016,"coal",0.57
"128","Africa",2017,"coal",2.117
