"","coal_share_energy","gas_share_energy","nuclear_share_energy","hydro_share_energy","renewables_share_energy","oil_share_energy","country","continent"
"1",NA,NA,NA,NA,NA,NA,"Afghanistan","Asia"
"2",22.485,25.823,0.622,6.095,7.1,43.97,"Africa",NA
"3",NA,NA,NA,NA,NA,NA,"Albania","Europe"
"4",0.25,61.415,0,0.059,0.091,38.244,"Algeria","Africa"
"5",NA,NA,NA,NA,NA,NA,"American Samoa","Oceania"
"6",NA,NA,NA,NA,NA,NA,"Angola","Africa"
"7",NA,NA,NA,NA,NA,NA,"Antigua and Barbuda","Americas"
"8",1.588,46.837,1.788,10.609,12.913,36.874,"Argentina","Americas"
"9",NA,NA,NA,NA,NA,NA,"Armenia","Asia"
"10",NA,NA,NA,NA,NA,NA,"Aruba","Americas"
"11",NA,NA,NA,NA,NA,NA,"Asia Pacific",NA
"12",33.326,25.97,0,2.198,6.504,34.2,"Australia","Oceania"
"13",9.794,20.692,0,24.343,33.107,36.408,"Austria","Europe"
"14",0.021,65.185,0,2.423,2.571,32.224,"Azerbaijan","Asia"
"15",NA,NA,NA,NA,NA,NA,"Bahamas","Americas"
"16",NA,NA,NA,NA,NA,NA,"Bahrain","Asia"
"17",8.429,70.249,0,0.617,0.762,20.559,"Bangladesh","Asia"
"18",NA,NA,NA,NA,NA,NA,"Barbados","Americas"
"19",3.202,66.539,0,0.104,0.238,29.938,"Belarus","Europe"
"20",5.798,23.394,9.747,0.119,5.865,55.196,"Belgium","Europe"
"21",NA,NA,NA,NA,NA,NA,"Belize","Americas"
"22",NA,NA,NA,NA,NA,NA,"Benin","Africa"
"23",NA,NA,NA,NA,NA,NA,"Bermuda","Americas"
"24",NA,NA,NA,NA,NA,NA,"Bhutan","Asia"
"25",NA,NA,NA,NA,NA,NA,"Bolivia","Americas"
"26",NA,NA,NA,NA,NA,NA,"Bosnia and Herzegovina","Europe"
"27",NA,NA,NA,NA,NA,NA,"Botswana","Africa"
"28",6.032,12.635,1.097,26.781,38.632,41.604,"Brazil","Americas"
"29",NA,NA,NA,NA,NA,NA,"British Virgin Islands","Americas"
"30",NA,NA,NA,NA,NA,NA,"Brunei","Asia"
"31",34.298,13.498,17.503,6.443,9.977,23.965,"Bulgaria","Europe"
"32",NA,NA,NA,NA,NA,NA,"Burkina Faso","Africa"
"33",NA,NA,NA,NA,NA,NA,"Burma",NA
"34",NA,NA,NA,NA,NA,NA,"Burundi","Africa"
"35",NA,NA,NA,NA,NA,NA,"CIS",NA
"36",NA,NA,NA,NA,NA,NA,"Cambodia","Asia"
"37",NA,NA,NA,NA,NA,NA,"Cameroon","Africa"
"38",5.95,28.235,6.58,24.873,28.001,31.234,"Canada","Americas"
"39",NA,NA,NA,NA,NA,NA,"Cape Verde","Africa"
"40",NA,NA,NA,NA,NA,NA,"Cayman Islands","Americas"
"41",NA,NA,NA,NA,NA,NA,"Central African Republic","Africa"
"42",NA,NA,NA,NA,NA,NA,"Central America",NA
"43",NA,NA,NA,NA,NA,NA,"Chad","Africa"
"44",20.478,11.615,0,14.387,19.894,48.014,"Chile","Americas"
"45",63.914,5.59,1.245,8.096,10.188,19.063,"China","Asia"
"46",12.15,23.576,0,23.768,24.863,39.412,"Colombia","Americas"
"47",NA,NA,NA,NA,NA,NA,"Comoros","Africa"
"48",NA,NA,NA,NA,NA,NA,"Congo","Africa"
